mejor1,mejor2,mediana1,mediana2,peor1,peor2
-32081.414898444556,-31842.26540906753,-27401.834309049704,-27355.52530011277,-22092.494609017835,-22244.89283231531
-32217.431037100003,-31874.555483687316,-32217.431037100003,-28619.792082803582,-32040.09126227356,-23189.88653166994
-32106.19296032427,-32045.051244627713,-31999.46516326746,-29159.593249558937,-31999.46516326746,-23287.228059721674
-32217.431037100003,-32003.155085092047,-32217.431037100003,-29425.846282303144,-32060.63944580927,-22715.876724254926
-32129.96852558177,-31910.6834105004,-31999.46516326746,-29653.993422342595,-31999.46516326746,-22819.664975744963
-32217.431037100003,-31910.6834105004,-32217.431037100003,-29700.687877013814,-32009.311928652525,-23495.403565705303
-32176.53631271028,-31965.104231447516,-31999.46516326746,-29979.51155573468,-31999.46516326746,-23199.9244072666
-32217.431037100003,-31960.29880819276,-32217.431037100003,-29954.572547379816,-32012.555042025335,-22920.784881606935
-32208.68264906588,-32005.21882095492,-31999.46516326746,-30090.998309902854,-31999.46516326746,-23372.345721886777
-32217.431037100003,-31981.150972922147,-32217.431037100003,-30147.50672370522,-32002.37954186045,-23654.951279622725
-32205.828921236374,-32038.296164746236,-31999.46516326746,-30125.542263205083,-31999.46516326746,-22994.964662368693
-32217.431037100003,-32056.72201340974,-32217.431037100003,-30201.61222535585,-32002.37954186045,-23565.84459951234
-32205.828921236374,-32002.478596941288,-31999.46516326746,-30211.083329477457,-31999.46516326746,-23094.68288631682
-32217.431037100003,-31953.691122998214,-32217.431037100003,-30317.552377892498,-32002.37954186045,-23823.16172987615
-32205.828921236374,-32108.14807216014,-31999.46516326746,-30324.09042740083,-31999.46516326746,-23813.64957378135
-32217.431037100003,-31960.611790884603,-32217.431037100003,-30265.250830371086,-32002.37954186045,-23784.32787548725
-32205.828921236374,-32077.02446120248,-31999.46516326746,-30279.850513753725,-31999.46516326746,-23793.68617602488
-32217.431037100003,-32056.019125832747,-32217.431037100003,-30324.09465955398,-32002.37954186045,-23350.895028739742
-32205.828921236374,-32082.85002174439,-31999.46516326746,-30330.340080732833,-31999.46516326746,-23643.520584731676
